사용자,평점,댓글 내용,감정
Tae Young Heo,4.5,"첫 인상과는 다르게 황정민 원맨쇼는 아니엇다
심장이 쫄깃쫄깃 ! 보는 동안 복잡한 생각들일랑 모두 잊고 살떨리는 인질극에 몰입했다!",긍정
최인혁,2.5,"재밌다고 하기엔 엉성하고
별로라고 하기엔 짜임새있다.",중립
김광휘,3.5,나쁜놈들 반목하는거 보는맛에 본다.,긍정
쫑쫑,4,한시간 반동안 몰입도 최공,긍정
김용근,4,“삐리빠리뽀!”,긍정
순돌이,2,스포일러가 포함되어 내용을 생략했습니다.,부정
이예원,3,20211207,긍정
관민,2,신선한 소재 선정이 끝,부정
호호,2.5,몰아치긴 한다. 짧아서인가,중립
m2ed,3.5,스타의 삶은 무서운거구나...,긍정
heelit,3.5,하 초반부터 그냥 유투브 5분요약을 볼까 하다가도 결말이 궁금해서 1.5배속으로 다 보긴 봤다. 시간도 짧고 나쁘진 않았지만 저예산 독립영화에 황정민이 출연한거 같은 느낌.. 전체적으로 부조화스럽고 뭔가 어색한 그 느낌.. 음 고생하셨습니다,긍정
재민,2.5,원맨무비일 줄 알았는데 오히려 조연을 살리려 한 점에서 모두가 아쉬워져버린 우연적 클리셰 덩어리,중립
Yunmin Park,1.5,"뭔가 어정쩡한 느낌인데
이도저도 아닌것같아",부정
울감,2,잔뜩 준 힘을 아쉽게 놓아버린다,부정
배지훈,2.5,폭탄이 터지고 액션이 나오면서 선 넘었다,중립
HYEONGCHAN KIM,3.5,황정민의 연기가 가장 꿀잼,긍정
Hee,3.5,"3.5점 이상 줄 정도로 재밌긴 함
근데 초반부가 과도하게 폭력적이라서 눈살이 찌푸려졌다
황정민 제외하고 다른 배우들은 별로 연기 못함 특히 우물거리는 발성 좀 어떻게 해줘라 넷플에 한글 자막있어서 다행이었음",긍정
choi,3,"황정민 매드무비
왜 영화감독들이 황정민을 선호하는지 알것만 같다",긍정
뽕재종,1,확인사살좀...,부정
LIM,1.5,설정만 신선하고 감독이 황정민을 위해 바치는 선물 같은 영화… ㅋㅋㅋㅋㅋㅋㅋㅋㅋ;; 거북함,부정
양희영,1.5,"한번도 없었지만 어딘가 익숙한 황정민의 극중 모습...
재미도없고 참신함도 없지만 전개가 너무 궁금해서 계속 보게되었는데... 결국 그 의도에 걸린건가
21.12.06 집넷플",부정
김태민,3.5,"황정민 역의 황정민이라니 신선했다.

본인 자신을 연기하는게 오히려 쉽지 않았을텐데 그걸 해내는 황정민이 존경스럽다.

영화 자체는
납치 상황을 리얼하게 표현한 몰입감있는 스릴러 영화였다.

황정민이든 빌런이든 경찰이든 각자의 자리에서 최선을 다하는 모습이 보기 좋았다.

파주가면서 봄

21.12.7",긍정
백진호,0.5,"개연성은 개나주고, 인물들에 대한 설명이 너무 없음.
뜬금없이 반전을 주는 이유를 모르겠음..",부정
박현섭,2,악역의 중요성,부정
에밀리,1,"1. 재미가 없다.

2. 긴박감도 없다.

3. 페이크다큐형식인거 같은데 범인들의 캐릭터나 색이 없어서 그냥 갑자기 등장한 악당같음.

4. 그냥....킬링타임...시간만 날린 느낌",부정
김덕관,4,"황정민이 연기하는 배우 황정민..👍
with.빙수+떡볶이",긍정
김두호,3,역시 믿고보는배우,긍정
charie,3,결말은 아쉽지만 현실감이 있어서 지루하지 않게 봤다. <차인표>랑 비슷할까봐 아무 기대 없이 봤는데 볼만 함ㅇㅇ,긍정
ming,1.5,"왜 이렇게 넷플릭스에 빨리 풀렸나싶었더니^~^

2021.12.07 넷플릭스 관람",부정
에꼬르,2.5,불쾌함과 불편함이 가득,중립
류승희,3.5,포스터 무슨 블록버스터급이고,긍정
햄밍,2.5,스포일러가 포함되어 내용을 생략했습니다.,중립
오긩,1.5,2021.12.07,부정
도헌킴,3,배우들의 열연,긍정
ok go,2.5,"차인표를 차인표가 연기하면 별로듯, 황정민도 마찬가지.",중립
박진아,2.5,짜친다..,중립
써니,2.5,"경찰들이 시종일관 너무 답답하게 굴어서 별을 뺍니다 ... 이것도 감독님이 의도하신건가요 ..... 영화 보는 내내 어찌나 답답하던지 .........

스토리가 -특히 후반부로 갈수록- 조금 미흡한 부분이 있지만... 황정민의 연기는 빛이 났다. 류경수도 이런 역할 너무 찰떡이다.",중립
DRken Jang,2,설정과 시작은 좋았는데.. 클리셰클리셰클리셰,부정
김경미,2.5,소재는 신선했는데 이야기를 풀어나가는 방식이 너무 전형적이라 다음 장면이 기대가 되지 않는 게 제일 치명적이었다.,중립
둡둡,2,"인 인간을 묶어놓고 때리는 사람은
질 질이 나쁘다",부정
김정식,1.5,"아찔하다

이영화를 극장에서 봤을 생각을하면",부정
팥차,3,"사실적으로 와닿게 시나리오를 잘 쓴 듯
황정민의 실제 캐릭터를 잘 이용해서",긍정
먹으세요,4,아름다운 자연산. C컵의 움직임을 볼수 있던것에 대해 감사하는 마음으로 별 4개를 보내드립니다.,긍정
다쿠루,3.5,그냥... 볼만한데요,긍정
노광욱,3,황정민이 황정민인 것만 제외하면 리얼리티라곤 찾아볼 수 없는 영화,긍정
타키,1,황정민 영화 그만 찍길. 공짜로 찍음 연기 왜케 날림임?! 박성웅 연기는 무슨 애들 장난이데,부정
Hye,5,#2021.12.06,긍정
김혜정,2,"""뭘 연기해도 결국 황정민이 보인다"" 라는 평가 제법 많았는데 진짜 황정민이 황정민 연기하는 거ㅋㅋㅋㅋㅋㅋㅋㅋ",부정
SEOJUN,1.5,시도는 좋았으나...,부정
ONGO,3,연기를 너무 잘하니 극 중 고통스러워 하는게 연기인지 상황속 진짜 고통인지 하는 말이 구란지 진짜인지…,긍정
나연,2,초반 30분은 볼만한데ㅔ…,부정
강성찬,3,김치찌개에는 핫소스를 넣지 말자,긍정
chu,1,황정민이 황정민했다,부정
Vonchio,3,"1. 황정민 연기의 마지막이 아닌가싶을 정도로 연기한다. (자신에게 감정이입한건가???)
2. 인질보다 인질범의 연기가 더 어려울텐데 조연들의 연기가 가히 황정민에게 주눅들지않는다.(정재원 이호정...)
3. 범죄극 치고 시나리오는 좀 짜치지만(특히나 형사들의 연기와 행동은 아마추어 수준) 여형사의 눈썰미는 현장감을 줬다
4. The Passenger 를 마지막에 깐 이유가 궁금하다.
5. 다만악에서 황정민의 연기가 빵점이라면 이번 연기는 75점 준다

☞☞☞ ★★★
P.S  황정민이 인질범을 죽이지 못한게 후회스럽게 다가오는 마지막 트라우마 씬",긍정
쏘라,3,"엔딩이 그려지는 뻔한영화지만
납치범으로 나왔던 배우들의 연기가 👍🏼",긍정
allsmith,1,무엇도 아닌,부정
배부른소크라테스,2,오징어게임 이전에 볼걸,부정
백경모,2,스포일러가 포함되어 내용을 생략했습니다.,부정
Minaeee,3.5,머그저시간남을때보면괜찮을듯..,긍정
디두,2,킬링타임,부정
권희원,3.5,"황정민 뻔한 연기가 살린 최고의 원톱 영화
반복되는 캐릭터성에 논란이 되던 뻔함이 페이크 다큐 속에서 완전히 반전된다

황정민은 황정민을 연기했을 뿐
그것이 그 자체로 리얼했다

클리셰 속에서도 쫄깃한 긴장감을 만드는건 진정한 황정민의 연기와 많은 조연배우들이 만든 진심.",긍정
상선,3,긴장감은 오케이,긍정
손준영,3.5,흔치 않은 리얼리티 컨셉 ㅋㅋ 주말저녁 킬링타임용으로 완전 굿 ㅋㅋㅋ,긍정
Tim,3,"딱히 덧붙일 말 없는 영화, 칭찬도 욕도 아닌 딱 중간.",긍정
이창현,3,캐스팅과 호연으로 나름 잘 버텨낸 90분.,긍정
말콩,2.5,어쩌라고 🙈🙊🙉,중립
하외욤,3,주인공은 살테니까. 그래서?,긍정
이한승,3,"실제 황정민이라는 세계관을 입힌 설정을 제외하면 지극히 평범하고 무난
전반에 비해 후반에 힘을 잃은듯한 느낌",긍정
웅이,1.5,보다가 폰봄,부정
안상영,2,자신이 차려놓은 밥상 위에서.,부정
뿜뿜,3,"황정민 본인으로 나온 게 유치하면서도 참신했다.
그리고 작전동이 반가웠다.",긍정
ㄷㅈㅁ,3,설정 자체가 기발했음 딱 그 뿐,긍정
JUNSIL OH,4,소재도 신선하고 연기도 지림 재밌어요,긍정
maru,3,"황정민이 황정민 한 영화
박성웅은 까메오인가?",긍정
Lee Jong-won LJ,3.5,"황정민의 레버넌트,
2021년에 빛나기 시작한 배우들의 발굴.",긍정
술잔속의달빛,1.5,"황정민이 황정민을 연기하고, 인질은 환자인척 연기하고, 악당들은 바보인척 연기한다.",부정
김규식,2,무게가없다,부정
김광천,3.5,스포일러가 포함되어 내용을 생략했습니다.,긍정
슈슈,3,"결말이 별로인데 현실적이어서 쫌 짜치넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
그리고 황정민보다 저 범인이 더 연기 잘 하는것같은데ㅠㅋㅋㅋ저 분 상 좀 받으셨을까…….궁금……",긍정
퍄룽,3.5,"있을 듯 하지만, 없을 것 같은 이야기를 실제 인물 기반으로 풀어내어 더욱 현실감  다가왔던 것 같다.
만약, 실제 제판이 이루어진다면, 어떻게 될 지 궁금해진다.
21.12.05 넷플릭스",긍정
만두,3,아쉬운 부분들도 분명 있었지만 적당한 긴장감을 극 후반부까지 유지해서 좋았다.,긍정
Soohyeon Noh,1.5,어우 다들.. 찍느라 고생했겠당,부정
maree,3,뭐니뭐니해도 캐스팅이 신의 한 수 였던 듯. 안정감있게 끌고 가는 황정민과 그 외 조연들의 앙상블이 좋았다.,긍정
돌발사태,1.5,이상하게 10분 이상 연속해서 보기 힘들다.,부정
방정환,3,"무난한 킬링타임용, 부실한 악당서사",긍정
호가든,3,황정민원맨쇼,긍정
최삼영,3,황정민이다!,긍정
LostStarB612,2.5,"메시지의 부재, 허망한 킬링타임",중립
삼선짬뽕,3,역시 황정민,긍정
해밀,2.5,"무난한 한국영화.
-
15세라기엔 좀 잔인하다
-
언제나 믿고보는 배우 김재범 짱",중립
LP,2.5,하..원작 보세요........,중립
비밀임다,3.5,어설픈 페이크다큐보단 확실한 연기가 좋았다,긍정
엠마(Hyun),2,"이 영화에, 황정민이 황정민을 연기했어야 하는 이유가 없다. 그냥 가상의 배우 역할로 나왔어도 충분했고 그랬다면 오히려 더 설득력있었을 영화.",부정
박시현,3.5,"의외로 괜찮음.
평만 보고 안 볼뻔!",긍정
사춘기,2.5,황정민은 황정민을 하면서 익숙함으로 밭을 갈고 다른 얼굴들은 신선함의 씨앗을 뿌려놓는다.,중립
리지,0.5,15세? 피떡칠하고 계속 욕하고 총기 제작에 쏘고 난리 부르스를 치는데 15세? 진짜 미성년자가 이거 봐도 된다고 생각하세요?,부정
졸 냉정평가자,0.5,역시 감독이 중요해,부정
르 리차드 퐁 3세,1.5,안 좋은 습관은 다 담긴 영화 이렇게만 찍지 마세요! 를 알리는 교육용 영화 같다,부정
LSG,2,그냥 쏘쏘해,부정
김도우,2.5,2021.12.04 넷플릭스,중립
이경아,3,"설정은 좋았는데, 결론은 사진을 잘 찍어주자인가? 갸우뚱.",긍정
배인한,3,"배우들의 실명을 걸고 시작하는 생생함.
납치를 위한, 구조를 위한 설정과 적당한 전개.
조금더 긴박감 있게 연출했다면.",긍정
18g25”36g,2,황정민 유니버스,부정
현영호,3,"생각보다 재미있으나, 악마같은 놈이 나오니 기분 나쁨",긍정
상원,2,"확실히 긴장감은 있었고,,,
오히려 현실적이라는 느낌도 받긴 했으나
전체적으로 너무 무난하게 시간만 흐른 느낌이다.",부정
로온,3,좋은 배우들 데려다놓고 뭐한겨 대체,긍정
Jeongpyo Lee,3,천만관객을 인질로 삼은 천만배우의 연기 탈출,긍정
박은학,2.5,실제로 일어날 수도 있을 법하다. 후반부만 빼고,중립
가람과뫼,3.5,기대 이상으로 쫄깃한 맛이 살아있네.,긍정
WatchaPedia,2.5,"현실로 일어난다면 가정하고 본거지만
연기력은 흠잡을때 없었음
스토리는 뻔한 이야기",중립
우인식,3,악역맡은 배우는 곧 뜰거같다,긍정
콘스탄티노플,3,"끝까지 긴장감을 유지하는데
액센트가 없다~",긍정
박지석,0.5,허허…,부정
문노을,3,황정민 연기 찐!,긍정
Park Dae-won,2,"황정민이 아닌 그 누가 나오더라도 뻔하게 나올 법한 이야기를 보여주었다.
특별히 뽑아낼 에피소드나 복선, 차별화된 전략이 없는 것이 런닝타임으로 증명되었다. 그나마 캐릭터의 연기력으로 버틴듯하다.",부정
복어대가리,3,"2021.12.04
집",긍정
김현수,1.5,처음부터 잘못 만든것 같은,부정
김동현,3,근래 보기드문 인상적인 악당,긍정
성식,3,이름값을 소재로 소비하는 데에 있어 단순히 단면만 핥는다.,긍정
Mr.Lee,3,"자극적이라고
더 낫다는건 아니다

# NETFLIX",긍정
고니,1.5,"아니 이건 뭐 너무 현실적이라 그런지.. 납치범들이 진짜 일반인들처럼 연기가 아쉽고.. 뭐 다 죽고, 맨날 경찰은 다 약하고.. ㅠㅠ",부정
루니37,2.5,새로운 시도였으나 뻔한 스타일인 팝콘영화 by 넷플릭스 21.12.4,중립
서원철,3,황정민은 그날밤 차를 편의점에 주차하고 어딜가려 했을까?,긍정
이현석,2.5,이러니깐 브라더말만 믿고 따라오라고 할만하네.,중립
대중과는 다른  감각의 영알못,4,아무리 연기라지만 개고생 했을 황정민을 생각하면 별 4개는 아깝지 않지!!!,긍정
뭐없다,3.5,"211202

220528",긍정
박준호,2,스포일러가 포함되어 내용을 생략했습니다.,부정
kyu,3,"경찰이 당혹스러울 정도로 무능함
유지사제는 여기서도 나쁜놈이고,
240번은 여기서도 불쌍함",긍정
김윤석,1.5,황정민이라 1.5점 준다 진짜 후,부정
기미연,4,"흔하고 단순하게 아무생각없이 볼수 있는 영화는
황정민과 외유내강이 만나 류승완 너낌 물씬나는
영화가 되었다.

때론 복잡하게 머리쓰는것보다
여기서 이렇게 되겠지 예측하고 그걸 맞추는
재미로 영화를 보는것도 좋은것 같다.",긍정
넝마주이,1.5,"한숨 나오는 설정과 한숨 나오는 전개와 한숨 나오는 연출의 연속.

그냥 저냥 대충대충~ 시나리오적 고민이 별로 안보인다.",부정
수진,3.5,"연예인 한 번 하기 참 힘들다......ㅋ
근데 진짜 있을법하다고 생각돼서 공포영화보다 무서웠음...",긍정
승ㅏ,0.5,주인공빼고 나머지 캐릭터가 바보스러워서 몰입이 잘 안됨.,부정
